Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C6,C_0402_1005Metric,C1525,1
100pF,"C1,C3",C_0402_1005Metric,C1546,2
10uF,"C4,C5",C_0603_1608Metric,C19702,2
2.2uF,C2,C_0402_1005Metric,C12530,1
MYRBP500080W21RD,U2,MURATA_MYRBP500080W21RD_0,C6242740,1
T4040014041000,J2,T4040014041000,,1
T4041017041-000,J3,T4041017041000,,1
LM74610QDGKRQ1,U1,LM74610QDGKRQ1,,1
DDZ9691-7,D1,DDZ9691Q-7,,1
FH41-15S-0.5SH_05_,J4,FH4115S05SH05,,1
500,R1,R_0402_1005Metric,,1
0ZCH0050FF2G,F1,0ZCH0050FF2G,,1
SSF2302,Q1,SSF2302,,1
Neopixel 5050 Smart Diode,D2,LED_5050,,1
