Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100pF,C_0402_1005Metric,99.01,-87.6,90.0,bottom
C2,2.2uF,C_0402_1005Metric,104.44,-84.67,0.0,bottom
C3,100pF,C_0402_1005Metric,106.7,-86.81,270.0,bottom
C4,10uF,C_0603_1608Metric,118.8,-82.575,-90.0,top
C5,10uF,C_0603_1608Metric,124.05,-82.625,-90.0,top
C6,0.1uF,C_0402_1005Metric,125.825,-82.1,90.0,top
D1,DDZ9691-7,DDZ9691Q-7,102.41,-87.12,180.0,bottom
D2,Neopixel 5050 Smart Diode,LED_5050,129.605,-82.915,0.0,bottom
F1,0ZCH0050FF2G,0ZCH0050FF2G,96.5,-87.0,90.0,bottom
J2,T4040014041000,T4040014041000,104.025,-92.79225,90.0,top
J3,T4041017041-000,T4041017041000,125.525,-92.8,90.0,top
J4,FH41-15S-0.5SH_05_,FH4115S05SH05,115.0,-84.475,0.0,bottom
Q1,SSF2302,SSF2302,97.125,-81.5,180.0,bottom
R1,500,R_0402_1005Metric,124.925,-81.25,180.0,bottom
U1,LM74610QDGKRQ1,LM74610QDGKRQ1,104.5,-82.0,180.0,bottom
U2,MYRBP500080W21RD,MURATA_MYRBP500080W21RD_0,121.34975,-82.675,-90.0,top
