Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Chip,XDCR_2450AT18B100E,43,-83,-90,top
BT1,Battery_Cell,BatteryHolder_LINX_BAT-HLD-012-SMT,55.75,-32.75,180,top
C1,1 uF,C_0402_1005Metric,104.702,-68.10495,-90,top
C2,1 uF,C_0402_1005Metric,109.902,-67.95495,-90,top
C5,1.5pF,C_0603_1608Metric,51.3675,-72.098171,110,top
C6,1.5pF,C_0603_1608Metric,46.73,-74.519341,-90,top
C8,0.1uF,C_0402_1005Metric,100.092,-68.70495,-90,top
C9,0.1uF,C_0402_1005Metric,100.092,-66.45495,90,top
C10,4.7uF,C_0402_1005Metric,101.092,-68.70495,-90,top
C11,10uF,C_0402_1005Metric,99.9325,-61.629949,-90,top
C12,0.1uF,C_0402_1005Metric,100.9325,-61.629949,-90,top
C13,1uF,C_0402_1005Metric,102.402,-41.22495,90,top
C14,0.1uF,C_0402_1005Metric,111.702,-42.60495,-90,top
C15,10uF,C_0402_1005Metric,102.402,-43.14495,-90,top
C16,0.1uF,C_0402_1005Metric,103.402,-43.12495,-90,top
C17,0.1uF,C_0402_1005Metric,105.102,-36.25495,180,top
C18,0.1uF,C_0402_1005Metric,103.402,-41.22495,90,top
C19,1uF,C_0402_1005Metric,112.702,-42.60495,-90,top
C20,0.1uF,C_0402_1005Metric,111.052,-44.55495,0,top
C21,0.1uF,C_0402_1005Metric,89.15,-23.45,-90,top
C22,0.1uF,C_0402_1005Metric,121.452,-64.45495,90,top
C23,0.1uF,C_0402_1005Metric,121.252,-56.45495,-90,top
C24,0.1uF,C_0402_1005Metric,110.05,-63.4,-90,top
C25,1.2pF,C_0402_1005Metric,43,-74.9,90,top
C26,0.1uF,C_0402_1005Metric,107.742,-51.02495,90,top
C27,0.1uF,C_0402_1005Metric,96.076,-25.05495,-90,top
C28,0.1uF,C_0402_1005Metric,100.752,-36.77495,-90,top
C33,0.1uF,C_0402_1005Metric,100.752,-38.82495,-90,top
C34,0.1uF,C_0402_1005Metric,100.752,-40.87495,-90,top
C35,0.1uF,C_0402_1005Metric,113.892,-42.09495,-90,top
C36,4.7uF,C_0402_1005Metric,102.092,-68.70495,-90,top
C37,0.1uF,C_0402_1005Metric,113.922,-40.00495,-90,top
C38,10uF,C_0402_1005Metric,106.402,-74.93495,-90,top
C39,22uF,C_0402_1005Metric,110.952,-76.30495,90,top
C40,0.1uF,C_0402_1005Metric,98.842,-50.99495,90,top
C41,0.1uF,C_0402_1005Metric,114.952,-74.20495,-90,top
C42,0.1uF,C_0402_1005Metric,113.932,-37.88495,-90,top
C43,0.1uF,C_0402_1005Metric,118.102,-39.95495,-90,top
C44,0.1uF,C_0402_1005Metric,118.102,-37.80495,-90,top
C45,0.1uF,C_0402_1005Metric,118.152,-35.25495,-90,top
C46,0.1uF,C_0402_1005Metric,113.052,-34.28495,-90,top
C47,14pF,C_0402_1005Metric,53.23,-69.5,90,top
C48,14pF,C_0402_1005Metric,55.23,-67.75,180,top
C49,17pF,C_0402_1005Metric,56.48,-83.45,0,top
C50,17pF,C_0402_1005Metric,58.48,-83.45,180,top
C53,2.2uF,C_0402_1005Metric,51.35,-78.05,-90,top
C54,2.2uF,C_0402_1005Metric,50.2,-78,-90,top
C55,0.1uF,C_0402_1005Metric,49.1,-78,-90,top
C56,0.1uF,C_0402_1005Metric,50.25,-75.3,180,top
C57,2.2uF,C_0402_1005Metric,50.4,-69.3,180,top
C58,0.1uF,C_0402_1005Metric,50.4,-68.2,180,top
C59,10nF,C_0402_1005Metric,50.4,-67,180,top
C60,0.1uF,C_0402_1005Metric,54.75,-80.8,-90,top
D1,D_Schottky,DO-214BA_MCH,124.002,-72.2637,90,top
IC1,MAX6105EUR+T,SOT-23-3,117.602,-75.05495,0,top
IC2,LP5907MFX-2.5_NOPB,SOT-23-5,107.302,-68.50495,0,top
IC5,INA827AIDGK,SOP65P490X110-8N,117.802,-65.95495,0,top
IC6,AD7175-8BCPZ-RL7,QFN50P600X600X80-41N-D,107.552,-40.40495,0,top
IC7,INA827AIDGK,SOP65P490X110-8N,117.552,-57.22995,0,top
IC8,AD8591ARTZ-REEL7,SOT95P280X145-6N,93.452,-25.80495,0,top
IC9,LSF0108PWR,SOP65P640X120-20N,103.292,-53.67495,0,top
IC10,ESP32-S3,QFN40P700X700X90-57N-D,57.48,-75.5,0,top
IC11,TPS62173DSGT,SON50P200X200X80-9N,108.702,-74.86745,0,top
J1,Mezzanine Edge,Double Sided Mezzanine Card Edge_Edge Side,41.5,-46.6,0,top
J4,DB44 (Analog | Digital),aaren_mouser_db44_screws,129.022,-64.05495,90,top
L1,2.2uH,L_0402_1005Metric,111.952,-74.10495,-90,top
L2,2.7nH,L_0603_1608Metric,49.23,-73.519341,20,top
L3,2.7nH,L_0402_1005Metric,43.475,-76.625,180,top
L4,3.3nH,L_0402_1005Metric,42.975,-78.375,90,top
L5,2nH,L_0402_1005Metric,50.25,-76.5,0,top
R1,10k,R_0402_1005Metric,110.452,-45.55495,0,top
R3,1.69k,R_0402_1005Metric,104.892,-48.11495,90,top
R4,DNP,R_0402_1005Metric,96.65,-62.95,90,top
R5,680R,R_0402_1005Metric,109.252,-34.15495,180,top
R6,1.07k,R_0402_1005Metric,102.752,-49.00495,-90,top
R7,1.07k,R_0402_1005Metric,101.652,-49.00495,-90,top
R8,1.69k,R_0402_1005Metric,106.242,-48.11495,90,top
R9,1.07k,R_0402_1005Metric,96.95,-46.7713,-90,top
R11,100k,R_0402_1005Metric,109.362,-72.80495,0,top
R12,64.2k (0.1%),R_0402_1005Metric,113.702,-66.15495,-90,top
R13,100R,R_0402_1005Metric,109.262,-35.25495,0,top
R15,DNP,R_0402_1005Metric,94.25,-62.95,90,top
R16,DNP,R_0402_1005Metric,92.3,-46.85,-90,top
R17,DNP,R_0402_1005Metric,94.5,-46.74,90,top
R18,DNP,R_0402_1005Metric,94.4,-49.95,-90,top
R19,DNP,R_0402_1005Metric,91.35,-49.95,90,top
R20,352R (0.1%),R_0402_1005Metric,115.342,-61.77495,0,top
R21,352R (0.1%),R_0402_1005Metric,115.362,-60.30495,0,top
R22,352R (0.1%),R_0402_1005Metric,117.662,-61.75495,0,top
R23,1.07k,R_0402_1005Metric,97.02,-49.89,90,top
R24,352R (0.1%),R_0402_1005Metric,117.652,-60.30495,0,top
R25,64.2k (0.1%),R_0402_1005Metric,113.502,-57.20495,-90,top
R26,DNP,R_0402_1005Metric,94.15,-53.4,90,top
R29,DNP,R_0402_1005Metric,91.05,-53.4,-90,top
R30,DNP,R_0402_1005Metric,94.15,-56.54,-90,top
R31,DNP,R_0402_1005Metric,91.7,-56.6,90,top
R32,DNP,R_0402_1005Metric,94.25,-60.4,90,top
R33,20R,R_0402_1005Metric,90.476,-25.05495,-90,top
R34,DNP,R_0402_1005Metric,97.1,-60.3,-90,top
R38,352R (0.1%),R_0402_1005Metric,120.012,-61.75495,0,top
R39,352R (0.1%),R_0402_1005Metric,120.002,-60.30495,0,top
R40,200k,R_0402_1005Metric,108.842,-50.87495,90,top
R41,1.6k,R_0402_1005Metric,98.892,-36.37495,180,top
R42,1.6k,R_0402_1005Metric,98.892,-38.32495,180,top
R43,1.6k,R_0402_1005Metric,98.942,-40.37495,180,top
R44,1.6k,R_0402_1005Metric,115.582,-41.65495,0,top
