Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C8,100nF,C_0402_1005Metric,100.092,-68.70495,-90,top
C9,100nF,C_0402_1005Metric,100.092,-66.45495,90,top
C10,4.7uF,C_0402_1005Metric,101.092,-68.70495,-90,top
C11,10uF,C_0402_1005Metric,99.9325,-61.629949,-90,top
C12,100nF,C_0402_1005Metric,100.9325,-61.629949,-90,top
C14,100nF,C_0402_1005Metric,111.702,-42.60495,-90,top
C15,10uF,C_0402_1005Metric,102.402,-43.14495,-90,top
C16,100nF,C_0402_1005Metric,103.402,-43.12495,-90,top
C17,100nF,C_0402_1005Metric,105.102,-36.25495,180,top
C18,100nF,C_0402_1005Metric,103.402,-41.22495,90,top
C20,100nF,C_0402_1005Metric,111.052,-44.55495,0,top
C21,100nF,C_0402_1005Metric,89.15,-23.45,-90,top
C22,100nF,C_0402_1005Metric,121.452,-64.45495,90,top
C23,100nF,C_0402_1005Metric,121.252,-56.45495,-90,top
C24,100nF,C_0402_1005Metric,110.05,-63.4,-90,top
C26,100nF,C_0402_1005Metric,107.742,-51.02495,90,top
C27,100nF,C_0402_1005Metric,96.076,-25.05495,-90,top
C28,100nF,C_0402_1005Metric,100.752,-36.77495,-90,top
C33,100nF,C_0402_1005Metric,100.752,-38.82495,-90,top
C34,100nF,C_0402_1005Metric,100.752,-40.87495,-90,top
C35,100nF,C_0402_1005Metric,113.892,-42.09495,-90,top
C36,4.7uF,C_0402_1005Metric,102.092,-68.70495,-90,top
C37,100nF,C_0402_1005Metric,113.922,-40.00495,-90,top
C38,10uF,C_0402_1005Metric,106.402,-74.93495,-90,top
C40,100nF,C_0402_1005Metric,98.842,-50.99495,90,top
C41,100nF,C_0402_1005Metric,114.952,-74.20495,-90,top
C42,100nF,C_0402_1005Metric,113.932,-37.88495,-90,top
C43,100nF,C_0402_1005Metric,118.102,-39.95495,-90,top
C44,100nF,C_0402_1005Metric,118.102,-37.80495,-90,top
C45,100nF,C_0402_1005Metric,118.152,-35.25495,-90,top
C46,100nF,C_0402_1005Metric,113.052,-34.28495,-90,top
C53,2.2uF,C_0402_1005Metric,51.35,-78.05,-90,top
C54,2.2uF,C_0402_1005Metric,50.2,-78,-90,top
C55,100nF,C_0402_1005Metric,49.1,-78,-90,top
C56,100nF,C_0402_1005Metric,50.25,-75.3,180,top
C57,2.2uF,C_0402_1005Metric,50.4,-69.3,180,top
C58,100nF,C_0402_1005Metric,50.4,-68.2,180,top
C59,10nF,C_0402_1005Metric,50.4,-67,180,top
C60,100nF,C_0402_1005Metric,54.75,-80.8,-90,top
IC6,AD7175-8BCPZ-RL7,QFN50P600X600X80-41N-D,107.552,-40.40495,0,top
IC10,ESP32-S3,QFN40P700X700X90-57N-D,57.48,-75.5,0,top
R1,10k?,R_0402_1005Metric,110.452,-45.55495,0,top
R11,100k?,R_0402_1005Metric,109.362,-72.80495,0,top
R13,100?,R_0402_1005Metric,109.262,-35.25495,0,top
R40,200k?,R_0402_1005Metric,108.842,-50.87495,90,top
R60,100k?,R_0402_1005Metric,92.55,-65.55,180,top
R100,10k?,R_0402_1005Metric,52.5,-75.6,90,top
R101,10k?,R_0402_1005Metric,57.98,-70.14505,-90,top
Y1,ECS-400-10-37B2-CKY-TR,XTAL_ECS-400-10-37B2-CKY-TR,55.48,-69.75,0,top
Y2,ECS-.327-12.5-34B-TR,XTAL_ECS-.327-12.5-34B-TR,57.48,-81.45,180,top
