Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_LINX_BAT-HLD-012-SMT",102.500000,-64.600000,180.000000,top
"C8","0.1uF","C_0402_1005Metric",58.845000,-36.230000,0.000000,top
"C9","0.1uF","C_0402_1005Metric",56.325000,-36.230000,0.000000,top
"C10","4.7uF","C_0402_1005Metric",58.865000,-34.730000,0.000000,top
"C13","1uF","C_0402_1005Metric",131.750000,-73.230000,-90.000000,top
"C14","0.1uF","C_0402_1005Metric",119.800000,-71.300000,90.000000,top
"C15","10uF","C_0603_1608Metric",131.450000,-69.870000,90.000000,top
"C16","0.1uF","C_0402_1005Metric",129.600000,-69.920000,90.000000,top
"C17","0.1uF","C_0402_1005Metric",127.900000,-78.250000,180.000000,top
"C18","0.1uF","C_0402_1005Metric",130.000000,-73.150000,-90.000000,top
"C19","1uF","C_0402_1005Metric",117.800000,-71.300000,90.000000,top
"C20","0.1uF","C_0402_1005Metric",122.020000,-68.750000,180.000000,top
"C21","0.1uF","C_0402_1005Metric",128.600000,-48.400000,-90.000000,top
"C22","0.1uF","C_0402_1005Metric",134.000000,-62.000000,90.000000,top
"C23","0.1uF","C_0402_1005Metric",134.275000,-57.500000,90.000000,top
"C26","0.1uF","C_0402_1005Metric",87.600000,-66.420000,-90.000000,top
"C27","0.1uF","C_0402_1005Metric",135.174000,-48.200000,90.000000,top
"C36","4.7uF","C_0402_1005Metric",58.865000,-33.230000,0.000000,top
"C38","0.47uF","C_0402_1005Metric",65.085000,-23.460000,-90.000000,top
"C39","4.7uF","C_0402_1005Metric",56.525000,-24.170000,-90.000000,top
"C40","0.1uF","C_0402_1005Metric",87.600000,-60.400000,-90.000000,top
"C61","22uF","C_0603_1608Metric",64.700000,-26.700000,0.000000,top
"IC5","INA827AIDGK","SOP65P490X110-8N",130.050000,-63.675000,0.000000,top
"IC6","AD7175-8BCPZ-RL7","QFN50P600X600X80-41N-D",124.800000,-73.600000,180.000000,top
"IC7","INA827AIDGK","SOP65P490X110-8N",130.075000,-59.000000,0.000000,top
"IC8","AD8591ARTZ-REEL7","SOT95P280X145-6N",131.874000,-48.650000,0.000000,top
"IC9","LSF0108PWR","SOP65P640X120-20N",83.100000,-63.400000,-90.000000,top
"IC11","LT3973EMSE-5#PBF","SOP50P490X110-11N",60.365000,-23.591000,0.000000,top
"J2","FFC Analog","TE_2-84952-4_1x24-1MP_P1.0mm_Horizontal",104.290000,-79.200000,0.000000,top
"J3","FFC Digital","TE_2-84952-0_1x20-1MP_P1.0mm_Horizontal",72.590000,-79.200000,0.000000,top
"J4","FFC Main to Peripheral","FH4115S05SH05",79.900000,-20.913000,180.000000,top
"L1","15uH","NRS4012T150MDGJ",59.500000,-29.100000,-90.000000,top
"R1","10k","R_0402_1005Metric",123.500000,-65.750000,0.000000,top
"R9","215k","R_0402_1005Metric",63.450000,-20.500000,0.000000,top
"R12","80 (0.1%)","R_0402_1005Metric",130.240000,-66.750000,180.000000,top
"R21","120R (0.1%)","R_0402_1005Metric",122.425000,-51.125000,90.000000,top
"R22","120R (0.1%)","R_0402_1005Metric",133.750000,-70.250000,-90.000000,top
"R24","120R (0.1%)","R_0402_1005Metric",125.300000,-51.100000,-90.000000,top
"R25","80 (0.1%)","R_0402_1005Metric",130.000000,-56.000000,0.000000,top
"R33","20R","R_0402_1005Metric",131.914000,-51.750000,180.000000,top
"R38","120R (0.1%)","R_0402_1005Metric",127.250000,-83.500000,90.000000,top
"R47","400R","R_0402_1005Metric",58.150000,-46.860000,180.000000,top
"R50","120","R_1206_3216Metric",117.095000,-57.686600,0.000000,top
"R60","100k","R_0402_1005Metric",55.500000,-46.500000,90.000000,top
"T1","749013011","749013011",103.115000,-22.515000,90.000000,top
"U1","Teensy4.1","Teensy41",96.790000,-40.480000,180.000000,top
"U4","TPS2115APWR","SOP65P640X120-8N",57.825000,-41.230000,90.000000,top
"U5","XIAO-ESP32-S3","XIAO-ESP32S3-SMD",65.833000,-61.638636,90.000000,top
