Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1 uF","C_0402_1005Metric",71.900000,-38.498898,0.000000,bottom
"C2","1 uF","C_0402_1005Metric",72.020000,-45.000000,0.000000,bottom
"C3","0.1uF","C_0402_1005Metric",120.060000,-52.761600,180.000000,bottom
"C4","0.1uF","C_0402_1005Metric",120.845000,-60.126600,-90.000000,bottom
"C11","10uF","C_0603_1608Metric",101.200000,-38.275000,-90.000000,bottom
"C12","0.1uF","C_0402_1005Metric",99.600000,-38.600000,-90.000000,bottom
"C24","0.1uF","C_0402_1005Metric",89.150000,-39.780000,-90.000000,bottom
"C28","0.1uF","C_0402_1005Metric",97.700000,-72.500000,90.000000,bottom
"C29","0.1uF","C_0402_1005Metric",112.500000,-19.998685,90.000000,bottom
"C30","0.1uF","C_0402_1005Metric",111.000000,-19.978685,90.000000,bottom
"C31","0.1uF","C_0402_1005Metric",112.500000,-24.978685,-90.000000,bottom
"C32","0.1uF","C_0402_1005Metric",111.000000,-24.998685,-90.000000,bottom
"C33","0.1uF","C_0402_1005Metric",99.800000,-72.510000,90.000000,bottom
"C34","0.1uF","C_0402_1005Metric",101.800000,-72.420000,90.000000,bottom
"C35","0.1uF","C_0402_1005Metric",103.800000,-72.420000,90.000000,bottom
"C37","0.1uF","C_0402_1005Metric",105.800000,-72.390000,90.000000,bottom
"C41","0.1uF","C_0402_1005Metric",53.200000,-75.550000,90.000000,bottom
"C42","0.1uF","C_0402_1005Metric",104.800000,-82.740000,-90.000000,bottom
"C43","0.1uF","C_0402_1005Metric",102.700000,-82.700000,-90.000000,bottom
"C44","0.1uF","C_0402_1005Metric",100.800000,-82.660000,-90.000000,bottom
"C45","0.1uF","C_0402_1005Metric",98.800000,-82.630000,-90.000000,bottom
"C46","0.1uF","C_0402_1005Metric",96.800000,-82.640000,-90.000000,bottom
"C51","39pF","C_0402_1005Metric",118.390000,-62.626600,0.000000,bottom
"C52","39pF","C_0402_1005Metric",115.890000,-62.626600,180.000000,bottom
"D1","D_Schottky","DO-214BA_MCH",89.693000,-82.200000,0.000000,bottom
"D2","RCLAMP3354S.TCT","SOT-23-5",88.962500,-23.000000,180.000000,bottom
"IC1","MAX6105EUR+T","SOT-23-3",56.000000,-76.500000,-90.000000,bottom
"IC2","LP5907MFX-2.5_NOPB","SOT-23-5",72.450000,-41.637500,-90.000000,bottom
"R2","47","R_0402_1005Metric",70.130000,-53.871600,90.000000,bottom
"R3","1.69k","R_0402_1005Metric",85.100000,-64.400000,180.000000,bottom
"R4","DNP","R_0402_1005Metric",94.300000,-56.800000,90.000000,bottom
"R5","680R","R_0402_1005Metric",126.000000,-78.250000,180.000000,bottom
"R6","1.07k","R_0402_1005Metric",82.610000,-62.400000,0.000000,bottom
"R7","1.07k","R_0402_1005Metric",85.100000,-62.400000,180.000000,bottom
"R8","1.69k","R_0402_1005Metric",82.600000,-64.400000,0.000000,bottom
"R13","100R","R_0402_1005Metric",126.010000,-80.250000,0.000000,bottom
"R14","47","R_0402_1005Metric",72.730000,-53.861600,90.000000,bottom
"R15","DNP","R_0402_1005Metric",94.300000,-53.890000,-90.000000,bottom
"R16","DNP","R_0402_1005Metric",107.000000,-56.910000,90.000000,bottom
"R17","DNP","R_0402_1005Metric",107.000000,-53.970000,90.000000,bottom
"R18","DNP","R_0402_1005Metric",104.300000,-53.910000,90.000000,bottom
"R19","DNP","R_0402_1005Metric",104.300000,-56.910000,90.000000,bottom
"R20","120R (0.1%)","R_0402_1005Metric",125.250000,-64.500000,90.000000,bottom
"R26","DNP","R_0402_1005Metric",101.750000,-53.950000,90.000000,bottom
"R27","52.3R","R_0402_1005Metric",93.515000,-23.950000,0.000000,bottom
"R28","52.3R","R_0402_1005Metric",93.515000,-21.960000,0.000000,bottom
"R29","DNP","R_0402_1005Metric",101.800000,-56.910000,90.000000,bottom
"R30","DNP","R_0402_1005Metric",99.300000,-53.910000,90.000000,bottom
"R31","DNP","R_0402_1005Metric",99.300000,-56.810000,90.000000,bottom
"R32","DNP","R_0402_1005Metric",96.800000,-53.910000,90.000000,bottom
"R34","DNP","R_0402_1005Metric",96.750000,-56.800000,90.000000,bottom
"R39","120R (0.1%)","R_0402_1005Metric",113.100000,-83.000000,180.000000,bottom
"R40","200k","R_0402_1005Metric",87.600000,-63.910000,-90.000000,bottom
"R41","1.6k","R_0402_1005Metric",97.700000,-75.000000,-90.000000,bottom
"R42","1.6k","R_0402_1005Metric",99.800000,-74.990000,-90.000000,bottom
"R43","1.6k","R_0402_1005Metric",101.800000,-74.990000,-90.000000,bottom
"R44","1.6k","R_0402_1005Metric",103.800000,-75.000000,-90.000000,bottom
"R46","1.6k","R_0402_1005Metric",105.800000,-74.990000,-90.000000,bottom
"R48","1.6k","R_0402_1005Metric",104.800000,-79.990000,90.000000,bottom
"R49","1.6k","R_0402_1005Metric",102.700000,-79.930000,90.000000,bottom
"R63","1.6k","R_0402_1005Metric",100.800000,-79.900000,90.000000,bottom
"R64","1.6k","R_0402_1005Metric",98.800000,-79.900000,90.000000,bottom
"R65","1.6k","R_0402_1005Metric",96.800000,-79.910000,90.000000,bottom
"U2","AD5689RARUZ-RL7","RU_16_ADI",94.400000,-38.700000,180.000000,bottom
"U3","MCP2562FD-E/SN","SOIC-8_3.9x4.9mm_P1.27mm",117.095000,-57.686600,-90.000000,bottom
