Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1uF","C_0603_1608Metric",121.000000,-96.860001,-90.000000,bottom
"C13","1uF","C_0402_1005Metric",118.430000,-90.690000,180.000000,bottom
"C14","0.1uF","C_0402_1005Metric",118.420000,-91.610000,180.000000,bottom
"C28","1uF","C_0402_1005Metric",110.400000,-85.190000,-90.000000,bottom
"C29","1uF","C_0402_1005Metric",116.420000,-84.710000,0.000000,bottom
"C30","2.2uF","C_0402_1005Metric",120.650000,-84.610000,-90.000000,bottom
"D1","LED","D_0402_1005Metric",128.000000,-100.860001,0.000000,bottom
"D2","NHP120SFT3G","D_SOD-123F",120.250000,-90.980000,-90.000000,bottom
"IC1","W25N04KVZEIR","SON127P800X600X80-9N-D",133.887800,-88.829999,90.000000,bottom
"IC3","MIC5504-3.3YM5-TR","MIC5501234 (3.3v ref)",113.130000,-85.620000,180.000000,bottom
"IC8","SPX3819S-L_TR","SOIC127P600X175-8N",125.142800,-87.559999,0.000000,bottom
"MOSFET1","SI1317DL-T1-GE3","SOT-23_DMP2120U_DIO-L",119.450000,-87.160000,90.000000,bottom
"R3","2.1k","R_0402_1005Metric",121.000000,-99.360001,180.000000,bottom
"R4","1.5k","R_0402_1005Metric",128.500000,-99.000000,90.000000,bottom
"R6","100k","R_0402_1005Metric",129.610000,-92.580000,180.000000,bottom
"R7","10k","R_0402_1005Metric",130.500000,-98.000000,0.000000,bottom
"R25","36.5k","R_0402_1005Metric",122.350000,-84.190000,0.000000,bottom
"R45","22k","R_0402_1005Metric",123.760000,-83.480000,90.000000,bottom
"U1","BQ21040DBVR","BQ21040DBVR",125.000000,-97.860001,180.000000,bottom
