Ref,Val,Package,PosX,PosY,Rot,Side
"","","",102.000000,-81.000000,0.000000,top
"","","",144.000000,-84.000000,0.000000,top
"","","",102.000000,-100.500000,0.000000,top
"AE1","Antenna_Chip","XDCR_2450AT18B100E",144.660000,-99.410000,-90.000000,top
"C1","1.2pF","C_0402_1005Metric",142.290000,-94.990000,180.000000,top
"C3","10pF","C_0402_1005Metric",116.590000,-82.710000,-90.000000,top
"C4","10pF","C_0402_1005Metric",111.860000,-81.670000,-90.000000,top
"C5","1.5pF","C_0402_1005Metric",135.020000,-92.570000,0.000000,top
"C6","1.5pF","C_0402_1005Metric",134.100000,-95.350000,180.000000,top
"C7","10pF","C_0402_1005Metric",107.030000,-82.890000,-90.000000,top
"C8","0.1uF","C_0402_1005Metric",123.590000,-85.270000,180.000000,top
"C9","1uF","C_0402_1005Metric",123.620000,-84.230000,180.000000,top
"C10","0.1uF","C_0402_1005Metric",127.270000,-94.170000,-90.000000,top
"C11","47uF","C_0402_1005Metric",119.270000,-98.580000,-90.000000,top
"C12","22uF","C_0402_1005Metric",127.060000,-96.270000,90.000000,top
"C15","0.1uF","C_0402_1005Metric",116.462800,-94.874999,180.000000,top
"C16","0.1uF","C_0402_1005Metric",116.042800,-97.884999,-90.000000,top
"C17","0.1uF","C_0402_1005Metric",116.422800,-90.499999,180.000000,top
"C18","0.1uF","C_0402_1005Metric",115.932800,-93.179999,-90.000000,top
"C19","0.1uF","C_0402_1005Metric",116.360000,-86.480000,180.000000,top
"C20","0.1uF","C_0402_1005Metric",115.892800,-88.919999,-90.000000,top
"C21","10nF","C_0402_1005Metric",117.142800,-97.594999,-90.000000,top
"C22","10nF","C_0402_1005Metric",117.022800,-93.179999,-90.000000,top
"C23","10nF","C_0402_1005Metric",116.942800,-88.919999,-90.000000,top
"C24","0.1uF","C_0402_1005Metric",119.197800,-95.919999,0.000000,top
"C25","0.1uF","C_0402_1005Metric",120.672800,-96.079999,90.000000,top
"C31","0.1uF","C_0402_1005Metric",122.852800,-89.829999,0.000000,top
"C47","14pF","C_0402_1005Metric",130.600000,-94.400000,-90.000000,top
"C48","14pF","C_0402_1005Metric",128.980000,-93.800000,180.000000,top
"C49","17pF","C_0402_1005Metric",130.960000,-82.510000,-90.000000,top
"C50","17pF","C_0402_1005Metric",125.280000,-83.340000,90.000000,top
"C53","2.2uF","C_0402_1005Metric",135.130000,-88.660000,0.000000,top
"C54","2.2uF","C_0402_1005Metric",135.160000,-89.650000,0.000000,top
"C55","0.1uF","C_0402_1005Metric",135.670000,-91.100000,90.000000,top
"C56","0.1uF","C_0402_1005Metric",134.190000,-91.640000,0.000000,top
"C57","2.2uF","C_0402_1005Metric",132.200000,-95.600000,0.000000,top
"C58","0.1uF","C_0402_1005Metric",132.200000,-94.644999,0.000000,top
"C59","10nF","C_0402_1005Metric",132.200000,-93.654999,0.000000,top
"C60","0.1uF","C_0402_1005Metric",132.362800,-83.924999,90.000000,top
"IC2","INA827AIDGK","INA827AIDGK",112.262800,-96.219999,0.000000,top
"IC4","INA827AIDGK","INA827AIDGK",112.152800,-91.884999,0.000000,top
"IC6","INA827AIDGK","INA827AIDGK",112.202800,-87.884999,0.000000,top
"IC10","ESP32-S3","ESP32-S2FH2",128.960000,-89.050000,180.000000,top
"J1","USB4110-GF-A","USB4110-GF-A_GCT",142.862800,-86.750000,90.000000,top
"J3","Conn_01x08","M12A-08PFFP-SF8001",96.528247,-90.700110,0.000000,top
"J4","Conn_01x02","PinHeader_1x02_P1.00mm_Horizontal",123.620000,-100.830000,180.000000,top
"L2","2.7nH","L_0402_1005Metric",134.560000,-93.975000,90.000000,top
"L3","2.7nH","L_0402_1005Metric",143.750000,-94.540000,-90.000000,top
"L4","3.3nH","L_0402_1005Metric",144.690000,-95.505000,90.000000,top
"L5","2nH","L_0402_1005Metric",134.180000,-90.610000,180.000000,top
"PS3","TPSM83100SIUR","TPSM83100SIUR",124.362800,-95.499999,-90.000000,top
"R1","200","R_0402_1005Metric",108.532800,-96.294999,-90.000000,top
"R2","22R","R_0402_1005Metric",134.550000,-86.640000,180.000000,top
"R5","120","R_0402_1005Metric",108.032800,-97.834999,180.000000,top
"R8","5.1k","R_0402_1005Metric",136.070000,-82.480000,180.000000,top
"R9","5.1k","R_0402_1005Metric",136.060000,-80.930000,180.000000,top
"R10","120","R_0402_1005Metric",106.962800,-95.674999,180.000000,top
"R11","120","R_0402_1005Metric",107.842800,-94.554999,0.000000,top
"R12","120","R_0402_1005Metric",107.942800,-93.359999,180.000000,top
"R13","120","R_0402_1005Metric",107.122800,-90.399999,0.000000,top
"R14","120","R_0402_1005Metric",106.772800,-91.559999,180.000000,top
"R15","120","R_0402_1005Metric",108.092800,-89.349999,180.000000,top
"R16","120","R_0402_1005Metric",108.032800,-85.119999,0.000000,top
