"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;",,";"";3;"";;;
2;"C55,C17,C24,C8,C10,C19,C58,C20,C56,C31,C25,C18,C16,C15,C60,C14";"C_0402_1005Metric";16;"0.1uF";;;
3;"C6,C5";"C_0402_1005Metric";2;"1.5pF";;;
4;"R5,R16,R13,R15,R17,R10,R14,R11,R12";"R_0402_1005Metric";9;"120";;;
5;"J1";"USB4110-GF-A_GCT";1;"USB4110-GF-A";;;
6;"R100,R26,R27,R7";"R_0402_1005Metric";4;"10k";;;
7;"C57,C53,C54,C30";"C_0402_1005Metric";4;"2.2uF";;;
8;"L4";"L_0402_1005Metric";1;"3.3nH";;;
9;"AE1";"XDCR_2450AT18B100E";1;"Antenna_Chip";;;
10;"R2,R28";"R_0402_1005Metric";2;"22R";;;
11;"C48,C47";"C_0402_1005Metric";2;"14pF";;;
12;"GND,TP5";"TestPoint_Pad_1.0x1.0mm";2;"TestPoint";;;
13;"Y2";"XTAL_ECS-.327-12.5-34B-TR";1;"ECS-.327-12.5-34B-TR";;;
14;"R21,R22,R20";"R_0402_1005Metric";3;"1k";;;
15;"C49,C50";"C_0402_1005Metric";2;"17pF";;;
16;"C7,C3,C4";"C_0402_1005Metric";3;"10pF";;;
17;"SW4,SW3,SW1";"NANOT100AS_butt";3;"SW_Push";;;
18;"IC10";"ESP32-S2FH2";1;"ESP32-S3";;;
19;"PS3";"TPSM83100SIUR";1;"TPSM83100SIUR";;;
20;"R8,R9";"R_0402_1005Metric";2;"5.1k";;;
21;"C12";"C_0402_1005Metric";1;"22uF";;;
22;"R1,R19,R18";"R_0402_1005Metric";3;"200";;;
23;"Y1";"XTAL_ECS-400-10-37B2-CKY-TR";1;"ECS-400-10-37B2-CKY-TR";;;
24;"U4";"SOP65P490X110-8N";1;"AD5626BRMZ";;;
25;"L5";"L_0402_1005Metric";1;"2nH";;;
26;"J4";"PinHeader_1x02_P1.00mm_Horizontal";1;"Conn_01x02";;;
27;"C9,C28,C29,C13";"C_0402_1005Metric";4;"1uF";;;
28;"L2,L3";"L_0402_1005Metric";2;"2.7nH";;;
29;"C21,C22,C23,C59";"C_0402_1005Metric";4;"10nF";;;
30;"IC6,IC2,IC4";"INA827AIDGK";3;"INA827AIDGK";;;
31;"C11";"C_0402_1005Metric";1;"47uF";;;
32;"J3";"M12A-08PFFP-SF8001";1;"Conn_01x08";;;
33;"R23";"R_0402_1005Metric";1;"80.6k";;;
34;"C1";"C_0402_1005Metric";1;"1.2pF";;;
35;"U7";"QFN50P350X350X100-17N-D";1;"ADS1120IRVAR";;;
36;"R24";"R_0402_1005Metric";1;"806k";;;
37;"R25";"R_0402_1005Metric";1;"36.5k";;;
38;"C2";"C_0603_1608Metric";1;"1uF";;;
39;"R4";"R_0402_1005Metric";1;"1.5k";;;
40;"D1";"D_0402_1005Metric";1;"LED";;;
41;"IC3";"MIC5501234 (3.3v ref)";1;"MIC5504-3.3YM5-TR";;;
42;"D2";"D_SOD-123F";1;"NHP120SFT3G";;;
43;"U1";"BQ21040DBVR";1;"BQ21040DBVR";;;
44;"R3";"R_0402_1005Metric";1;"2.1k";;;
45;"R45";"R_0402_1005Metric";1;"22k";;;
46;"IC8";"SOIC127P600X175-8N";1;"SPX3819S-L_TR";;;
47;"R6";"R_0402_1005Metric";1;"100k";;;
48;"IC1";"SON127P800X600X80-9N-D";1;"W25N04KVZEIR";;;
49;"MOSFET1";"SOT-23_DMP2120U_DIO-L";1;"SI1317DL-T1-GE3";;;
