Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Chip,XDCR_2450AT18B100E,144.66,-99.41,-90,top
C1,1.2pF,C_0402_1005Metric,142.29,-94.99,180,top
C3,10pF,C_0402_1005Metric,116.59,-82.71,-90,top
C4,10pF,C_0402_1005Metric,111.86,-81.67,-90,top
C5,1.5pF,C_0402_1005Metric,135.02,-92.57,0,top
C6,1.5pF,C_0402_1005Metric,134.1,-95.35,180,top
C7,10pF,C_0402_1005Metric,107.03,-82.89,-90,top
C8,0.1uF,C_0402_1005Metric,123.59,-85.27,180,top
C9,1uF,C_0402_1005Metric,123.62,-84.23,180,top
C10,0.1uF,C_0402_1005Metric,127.27,-94.17,-90,top
C11,47uF,C_0402_1005Metric,119.27,-98.58,-90,top
C12,22uF,C_0402_1005Metric,127.06,-96.27,90,top
C15,0.1uF,C_0402_1005Metric,116.4628,-94.874999,180,top
C16,0.1uF,C_0402_1005Metric,116.0428,-97.884999,-90,top
C17,0.1uF,C_0402_1005Metric,116.4228,-90.499999,180,top
C18,0.1uF,C_0402_1005Metric,115.9328,-93.179999,-90,top
C19,0.1uF,C_0402_1005Metric,116.36,-86.48,180,top
C20,0.1uF,C_0402_1005Metric,115.8928,-88.919999,-90,top
C21,10nF,C_0402_1005Metric,117.1428,-97.594999,-90,top
C22,10nF,C_0402_1005Metric,117.0228,-93.179999,-90,top
C23,10nF,C_0402_1005Metric,116.9428,-88.919999,-90,top
C24,0.1uF,C_0402_1005Metric,119.1978,-95.919999,0,top
C25,0.1uF,C_0402_1005Metric,120.6728,-96.079999,90,top
C31,0.1uF,C_0402_1005Metric,122.8528,-89.829999,0,top
C47,14pF,C_0402_1005Metric,130.6,-94.4,-90,top
C48,14pF,C_0402_1005Metric,128.98,-93.8,180,top
C49,17pF,C_0402_1005Metric,130.96,-82.51,-90,top
C50,17pF,C_0402_1005Metric,125.28,-83.34,90,top
C53,2.2uF,C_0402_1005Metric,135.13,-88.66,0,top
C54,2.2uF,C_0402_1005Metric,135.16,-89.65,0,top
C55,0.1uF,C_0402_1005Metric,135.67,-91.1,90,top
C56,0.1uF,C_0402_1005Metric,134.19,-91.64,0,top
C57,2.2uF,C_0402_1005Metric,132.2,-95.6,0,top
C58,0.1uF,C_0402_1005Metric,132.2,-94.644999,0,top
C59,10nF,C_0402_1005Metric,132.2,-93.654999,0,top
C60,0.1uF,C_0402_1005Metric,132.3628,-83.924999,90,top
IC2,INA827AIDGK,INA827AIDGK,112.2628,-96.219999,0,top
IC4,INA827AIDGK,INA827AIDGK,112.1528,-91.884999,0,top
IC6,INA827AIDGK,INA827AIDGK,112.2028,-87.884999,0,top
IC10,ESP32-S3,ESP32-S2FH2,128.96,-89.05,180,top
J1,USB4110-GF-A,USB4110-GF-A_GCT,142.8628,-86.75,90,top
J3,Conn_01x08,M12A-08PFFP-SF8001,96.528247,-90.70011,0,top
J4,Conn_01x02,PinHeader_1x02_P1.00mm_Horizontal,123.62,-100.83,180,top
L2,2.7nH,L_0402_1005Metric,134.56,-93.975,90,top
L3,2.7nH,L_0402_1005Metric,143.75,-94.54,-90,top
L4,3.3nH,L_0402_1005Metric,144.69,-95.505,90,top
L5,2nH,L_0402_1005Metric,134.18,-90.61,180,top
PS3,TPSM83100SIUR,TPSM83100SIUR,124.3628,-95.499999,-90,top
R1,200,R_0402_1005Metric,108.5328,-96.294999,-90,top
R2,22R,R_0402_1005Metric,134.55,-86.64,180,top
R5,120,R_0402_1005Metric,108.0328,-97.834999,180,top
R8,5.1k,R_0402_1005Metric,136.07,-82.48,180,top
R9,5.1k,R_0402_1005Metric,136.06,-80.93,180,top
R10,120,R_0402_1005Metric,106.9628,-95.674999,180,top
R11,120,R_0402_1005Metric,107.8428,-94.554999,0,top
R12,120,R_0402_1005Metric,107.9428,-93.359999,180,top
R13,120,R_0402_1005Metric,107.1228,-90.399999,0,top
R14,120,R_0402_1005Metric,106.7728,-91.559999,180,top
R15,120,R_0402_1005Metric,108.0928,-89.349999,180,top
R16,120,R_0402_1005Metric,108.0328,-85.119999,0,top
R17,120,R_0402_1005Metric,108.0028,-86.319999,180,top
R18,200,R_0402_1005Metric,108.3728,-91.869999,-90,top
R19,200,R_0402_1005Metric,108.4728,-87.889999,-90,top
R20,1k,R_0402_1005Metric,116.5528,-96.004999,0,top
R21,1k,R_0402_1005Metric,116.4728,-91.569999,0,top
R22,1k,R_0402_1005Metric,116.3628,-87.419999,0,top
R23,80.6k,R_0402_1005Metric,124.4328,-98.159999,0,top
R24,806k,R_0402_1005Metric,122.3628,-98.139999,0,top
R26,10k,R_0402_1005Metric,116.58,-80.83,90,top
R27,10k,R_0402_1005Metric,106.99,-80.74,90,top
R28,22R,R_0402_1005Metric,134.53,-85.66,180,top
R100,10k,R_0402_1005Metric,133.69,-89.11,90,top
SW1,SW_Push,NANOT100AS_butt,109.49,-82.04,-90,top
SW3,SW_Push,NANOT100AS_butt,118.9,-81.85,-90,top
SW4,SW_Push,NANOT100AS_butt,114.19,-81.98,-90,top
U4,AD5626BRMZ,SOP65P490X110-8N,121.1328,-87.849999,180,top
U7,ADS1120IRVAR,QFN50P350X350X100-17N-D,120.2928,-92.639999,-90,top
Y1,ECS-400-10-37B2-CKY-TR,XTAL_ECS-400-10-37B2-CKY-TR,128.92,-95.85,90,top
Y2,ECS-.327-12.5-34B-TR,XTAL_ECS-.327-12.5-34B-TR,127.81,-83.34,0,top
