Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C14,C15,C16,C17,C18,C19,C20,C24,C25,C31,C55,C56,C58,C60,C8",C_0402_1005Metric,C307331,16
1.5k,R4,R_0402_1005Metric,C25867,1
100k,R6,R_0402_1005Metric,C25741,1
100nF,C26,C_0402_1005Metric,C307331,1
10k,"R100,R26,R7",R_0402_1005Metric,C25744,3
10nF,"C21,C22,C23,C59",C_0402_1005Metric,C15195,4
10pF,"C3,C4,C7",C_0402_1005Metric,C32949,3
1k,"R20,R21,R22",R_0402_1005Metric,C11702,3
1uF,C2,C_0603_1608Metric,C15849,1
1uF,"C13,C28,C29,C9",C_0402_1005Metric,C52923,4
2.2uF,"C30,C53,C54,C57",C_0402_1005Metric,C12530,4
22R,"R2,R28",R_0402_1005Metric,C25092,2
22k,R45,R_0402_1005Metric,C25768,1
22uF,C12,C_0603_1608Metric,C59461,1
5.1k,"R8,R9",R_0402_1005Metric,C25905,2
ADS1120IRVAR,U7,QFN50P350X350X100-17N-D,C701614,1
TPSM83100SIUR,PS3,TPSM83100SIUR,C20346010,1
DNP,C6,C_0402_1005Metric,,1
120,R5,R_0402_1005Metric,,1
USB4110-GF-A,J1,USB4110-GF-A_GCT,,1
14pF,C48,C_0402_1005Metric,,1
ECS-.327-12.5-34B-TR,Y2,XTAL_ECS-.327-12.5-34B-TR,,1
17pF,C49,C_0402_1005Metric,,1
SW_Push,SW4,NANOT100AS_butt,,1
ESP32-S3,IC10,ESP32-S2FH2,,1
1pF,C5,C_0402_1005Metric,,1
120,R16,R_0402_1005Metric,,1
17pF,C50,C_0402_1005Metric,,1
Conn_01x10,J3,PinSocket_2x05_P2.00mm_Horizontal,,1
80.6,R1,R_0402_1005Metric,,1
ECS-400-10-37B2-CKY-TR,Y1,XTAL_ECS-400-10-37B2-CKY-TR,,1
80.6,R19,R_0402_1005Metric,,1
120,R13,R_0402_1005Metric,,1
AD5626BRMZ,U4,SOP65P490X110-8N,,1
SW_Push,SW3,NANOT100AS_butt,,1
2nH,L5,L_0402_1005Metric,,1
Conn_01x02,J4,JST_S2B-PH-K-S_LF__SN_-2pin_male,,1
3.3nH,L2,L_0402_1005Metric,,1
DNP,L3,L_0402_1005Metric,,1
80.6,R18,R_0402_1005Metric,,1
U.FL-R-SMT-1_10_,J2,HRS_U.FL-R-SMT-1_10_antenna,,1
120,R15,R_0402_1005Metric,,1
INA827AIDGK,IC6,INA827AIDGK,,1
47uF,C11,C_0603_1608Metric,,1
14pF,C47,C_0402_1005Metric,,1
INA827AIDGK,IC2,INA827AIDGK,,1
120,R17,R_0402_1005Metric,,1
120,R10,R_0402_1005Metric,,1
120,R14,R_0402_1005Metric,,1
INA827AIDGK,IC4,INA827AIDGK,,1
120,R11,R_0402_1005Metric,,1
80.6k,R23,R_0402_1005Metric,,1
SW_Push,SW1,NANOT100AS_butt,,1
DNP,C1,C_0402_1005Metric,,1
806k,R24,R_0402_1005Metric,,1
120,R12,R_0402_1005Metric,,1
DNP,R27,R_0402_1005Metric,,1
36.5k,R25,R_0402_1005Metric,,1
LED,D1,D_0402_1005Metric,,1
MIC5504-3.3YM5-TR,IC3,MIC5501234 (3.3v ref),,1
NHP120SFT3G,D2,D_SOD-123F,,1
BQ21040DBVR,U1,BQ21040DBVR,,1
2.1k,R3,R_0402_1005Metric,,1
TestPoint,TP4,TestPoint_Pad_1.0x1.0mm,,1
GD25Q64ESIG,IC5,GD25Q64ESIG,,1
SPX3819S-L_TR,IC8,SOIC127P600X175-8N,,1
W25N04KVZEIR,IC1,SON127P800X600X80-9N-D,,1
SI1317DL-T1-GE3,MOSFET1,SI1317DL-T1-GE3,,1
