Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C14,C15,C16,C17,C18,C19,C20,C24,C25,C31,C55,C56,C58,C60,C8",C_0402_1005Metric,C307331,16
1.5k,R4,R_0402_1005Metric,C25867,1
100k,R6,R_0402_1005Metric,C25741,1
100nF,C26,C_0402_1005Metric,C307331,1
10k,"R100,R26,R7",R_0402_1005Metric,C25744,3
10nF,"C21,C22,C23,C59",C_0402_1005Metric,C15195,4
10pF,"C3,C4,C7",C_0402_1005Metric,C32949,3
1k,"R20,R21,R22",R_0402_1005Metric,C11702,3
1uF,C2,C_0603_1608Metric,C15849,1
1uF,"C13,C28,C29,C9",C_0402_1005Metric,C52923,4
2.2uF,"C30,C53,C54,C57",C_0402_1005Metric,C12530,4
22R,"R2,R28",R_0402_1005Metric,C25092,2
22k,R45,R_0402_1005Metric,C25768,1
22uF,C12,C_0603_1608Metric,C59461,1
5.1k,"R8,R9",R_0402_1005Metric,C25905,2
ADS1120IRVAR,U7,QFN50P350X350X100-17N-D,C701614,1
TPSM83100SIUR,PS3,TPSM83100SIUR,C20346010,1
ESP32-S3,IC10,ESP32-S2FH2,C2913192,1
