Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,0.1uF,C_0402_1005Metric,127.3,-94.17,-90,top
C12,22uF,C_0603_1608Metric,127.25,-96.25,-90,top
C15,0.1uF,C_0402_1005Metric,116.45,-94.64,180,top
C16,0.1uF,C_0402_1005Metric,116.0428,-97.884999,-90,top
C17,0.1uF,C_0402_1005Metric,116.4228,-90.499999,180,top
C18,0.1uF,C_0402_1005Metric,115.9328,-93.179999,-90,top
C19,0.1uF,C_0402_1005Metric,116.36,-86.48,180,top
C20,0.1uF,C_0402_1005Metric,115.8928,-88.919999,-90,top
C21,10nF,C_0402_1005Metric,117.1428,-97.594999,-90,top
C22,10nF,C_0402_1005Metric,117.0228,-93.179999,-90,top
C23,10nF,C_0402_1005Metric,116.9428,-88.919999,-90,top
C24,0.1uF,C_0402_1005Metric,118.77,-96.07,0,top
C25,0.1uF,C_0402_1005Metric,120.68,-96.29,90,top
C3,10pF,C_0402_1005Metric,116.59,-82.71,-90,top
C31,0.1uF,C_0402_1005Metric,122.8528,-89.829999,0,top
C4,10pF,C_0402_1005Metric,111.86,-82.55,-90,top
C53,2.2uF,C_0402_1005Metric,135.13,-88.66,0,top
C54,2.2uF,C_0402_1005Metric,135.16,-89.65,0,top
C55,0.1uF,C_0402_1005Metric,135.67,-91.1,90,top
C56,0.1uF,C_0402_1005Metric,134.19,-91.64,0,top
C57,2.2uF,C_0402_1005Metric,132.2,-95.6,0,top
C58,0.1uF,C_0402_1005Metric,132.2,-94.644999,0,top
C59,10nF,C_0402_1005Metric,132.2,-93.654999,0,top
C60,0.1uF,C_0402_1005Metric,132.3628,-83.924999,90,top
C7,10pF,C_0402_1005Metric,107.03,-82.89,-90,top
C8,0.1uF,C_0402_1005Metric,123.59,-85.27,180,top
C9,1uF,C_0402_1005Metric,123.62,-84.23,180,top
IC10,ESP32-S3,ESP32-S2FH2,128.96,-89.055,180,top
PS3,TPSM83100SIUR,TPSM83100SIUR,124.3628,-95.499999,-90,top
R100,10k,R_0402_1005Metric,111.84,-80.64,-90,top
R2,22R,R_0402_1005Metric,134.55,-86.64,180,top
R20,1k,R_0402_1005Metric,116.58,-95.61,0,top
R21,1k,R_0402_1005Metric,116.4728,-91.569999,0,top
R22,1k,R_0402_1005Metric,116.3628,-87.419999,0,top
R26,10k,R_0402_1005Metric,116.58,-80.83,90,top
R28,22R,R_0402_1005Metric,134.54,-85.58,180,top
R8,5.1k,R_0402_1005Metric,136.07,-82.48,180,top
R9,5.1k,R_0402_1005Metric,136.06,-80.93,180,top
U7,ADS1120IRVAR,QFN50P350X350X100-17N-D,120.2928,-92.639999,-90,top
