Designator,Footprint,Quantity,Value,LCSC Part #
AE1,XDCR_2450AT18B100E,1,Antenna_Chip,
C1,0402,1,1.2pF,
"C15, C16, C17, C18, C19, C20, C24, C25, C31, C55, C56, C58, C60",0402,13,0.1uF,
C2,0603,1,1uF,
"C21, C22, C23, C59",0402,4,10nF,
"C26, C27, C28, C29",0402,4,1uF,
"C30, C53, C54, C57",0402,4,2.2uF,
"C47, C48",0402,2,14pF,
"C49, C50",0402,2,17pF,
"C5, C6",0402,2,1.5pF,
D1,0402,1,LED,
IC1,SON127P800X600X80-9N-D,1,W25N04KVZEIR,
IC10,ESP32-S2FH2,1,ESP32-S3,
"IC2, IC4, IC6",INA827AIDGK,3,INA827AIDGK,
IC5,AP2120N-3.3TRG1,1,AP2120N-3.3TRG1,
IC8,SOIC127P600X175-8N,1,SPX3819S-L_TR,
J1,USB4110-GF-A_GCT,1,USB4110-GF-A,
J3,M12A-08PFFP-SF8001,1,Conn_01x08,
J4,PinHeader_1x02_P1.00mm_Horizontal,1,Conn_01x02,
"L2, L3",0402,2,2.7nH,
L4,0402,1,3.3nH,
L5,0402,1,2nH,
PS2,AP2120N-5.0TRG,1,AP2120N-5.0TRG1,
PS3,TPSM83100SIUR,1,TPSM83100SIUR,
"R1, R18, R19",0402,3,200,
"R10, R11, R12, R13, R14, R15, R16, R17, R5",0402,9,350,
"R100, R101, R2, R7",0402,4,10k,
"R20, R21, R22",0402,3,1k,
R23,0402,1,80.6k,
R24,0402,1,806k,
R25,0402,1,36.5k,
R3,0402,1,2.1k,
R4,0402,1,1.5k,
R45,0402,1,22k,
R6,0402,1,100k,
"R8, R9",0402,2,5.1k,
"SW1, SW2",NANOT100AS_butt,2,SW_Push,
"TP4, TP5",TestPoint_Pad_1.0x1.0mm,2,TestPoint,
U1,BQ21040DBVR,1,BQ21040DBVR,
U4,SOP65P490X110-8N,1,AD5626BRMZ,
U7,ADS1120IRVAR,1,ADS1120IRVAR,
Y1,XTAL_ECS-400-10-37B2-CKY-TR,1,ECS-400-10-37B2-CKY-TR,
Y2,XTAL_ECS-.327-12.5-34B-TR,1,ECS-.327-12.5-34B-TR,
