Designator,Mid X,Mid Y,Rotation,Layer
AE1,144.66,-99.41,270.0,top
C1,142.29,-94.99,180.0,top
C15,116.4628,-94.874999,180.0,top
C16,116.0428,-97.884999,270.0,top
C17,116.4228,-90.499999,180.0,top
C18,115.9328,-93.179999,270.0,top
C19,116.3728,-86.399999,180.0,top
C2,121.0,-96.860001,270.0,bottom
C20,115.8928,-88.919999,270.0,top
C21,117.1428,-97.594999,270.0,top
C22,117.0228,-93.179999,270.0,top
C23,116.9428,-88.919999,270.0,top
C24,119.1978,-95.919999,0.0,top
C25,120.6728,-96.079999,90.0,top
C26,120.53,-86.86,0.0,bottom
C27,118.2228,-85.559999,90.0,bottom
C28,116.7728,-91.734999,270.0,bottom
C29,119.3628,-94.439999,0.0,bottom
C30,119.89,-85.28,180.0,bottom
C31,122.8528,-89.829999,0.0,top
C47,130.6,-94.4,270.0,top
C48,128.98,-93.8,180.0,top
C49,130.96,-82.51,270.0,top
C5,135.02,-92.57,0.0,top
C50,125.28,-83.34,90.0,top
C53,135.13,-88.66,0.0,top
C54,135.16,-89.65,0.0,top
C55,135.67,-91.1,90.0,top
C56,134.19,-91.64,0.0,top
C57,132.2,-95.6,0.0,top
C58,132.2,-94.644999,0.0,top
C59,132.2,-93.654999,0.0,top
C6,134.1,-95.35,180.0,top
C60,132.3628,-83.924999,90.0,top
D1,128.0,-100.860001,180.0,bottom
IC1,133.8878,-88.829999,90.0,bottom
IC10,128.96,-89.05,180.0,top
IC2,112.2628,-96.219999,0.0,top
IC4,112.1528,-91.884999,0.0,top
IC5,119.1928,-92.154999,180.0,bottom
IC6,112.2028,-87.884999,0.0,top
IC8,125.1428,-87.559999,180.0,bottom
J1,142.8628,-86.75,90.0,top
J3,96.554947,-90.72681,0.0,top
J4,123.62,-100.33,180.0,top
L2,134.56,-93.975,90.0,top
L3,143.75,-94.54,270.0,top
L4,144.69,-95.505,90.0,top
L5,134.18,-90.61,180.0,top
PS2,119.1728,-88.449999,180.0,bottom
PS3,124.3628,-95.499999,270.0,top
R1,108.5328,-96.294999,270.0,top
R10,106.9628,-95.674999,180.0,top
R100,133.69,-89.11,90.0,top
R101,127.1,-94.14,90.0,top
R11,107.8428,-94.554999,0.0,top
R12,107.9428,-93.359999,180.0,top
R13,107.1228,-90.399999,0.0,top
R14,106.7728,-91.559999,180.0,top
R15,108.0928,-89.349999,180.0,top
R16,108.0328,-85.119999,0.0,top
R17,108.0028,-86.319999,180.0,top
R18,108.3728,-91.869999,270.0,top
R19,108.4728,-87.889999,270.0,top
R2,119.5,-82.7,270.0,top
R20,116.5528,-96.004999,0.0,top
R21,116.4728,-91.569999,0.0,top
R22,116.3628,-87.419999,0.0,top
R23,124.4328,-98.159999,0.0,top
R24,122.3628,-98.139999,0.0,top
R25,121.9428,-84.219999,180.0,bottom
R3,121.0,-99.360001,0.0,bottom
R4,128.5,-99.0,90.0,bottom
R45,123.9828,-84.219999,180.0,bottom
R5,108.0328,-97.834999,180.0,top
R6,129.61,-92.58,0.0,bottom
R7,130.5,-98.0,180.0,bottom
R8,135.73,-83.25,180.0,top
R9,135.81,-82.2,180.0,top
SW1,121.98,-83.39,90.0,top
SW2,116.8146,-83.3374,90.0,top
U1,125.0,-97.860001,0.0,bottom
U4,121.1328,-87.849999,180.0,top
U7,120.2928,-92.639999,270.0,top
Y1,128.75,-95.84,90.0,top
Y2,127.81,-83.34,0.0,top
